Site,Cell count before exposure,Total Cells,Dead cells,Replicate
Honolulu Site 1,42,42,15,1
Honolulu Site 2,51,51,16,1
Honolulu Site 3,24,24,5,1
Honolulu Site 4,55,55,16,1
Honolulu Site 5,41,41,19,1
Ref sand,21,21,0,1
Honolulu Site 1,35,35,8,2
Honolulu Site 2,29,29,5,2
Honolulu Site 3,26,26,3,2
Honolulu Site 4,42,42,11,2
Honolulu Site 5,29,29,14,2
Ref sand,29,29,0,2
Honolulu Site 1,28,28,6,3
Honolulu Site 2,36,36,12,3
Honolulu Site 3,33,33,5,3
Honolulu Site 4,28,28,8,3
Honolulu Site 5,37,37,9,3
Ref sand,39,39,2,3
Honolulu Site 1,33,33,9,4
Honolulu Site 2,41,41,9,4
Honolulu Site 3,37,37,11,4
Honolulu Site 4,34,34,4,4
Honolulu Site 5,56,56,15,4
Ref sand,44,44,3,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,